image_set,actual,predicted
coffee_miner,4.49,4.998
coffee_miner,2.78,3.612
coffee_miner,5.85,6.494
coffee_miner,3.11,2.578
coffee_miner,3.27,3.19
coffee_miner,5.71,7.342
coffee_miner,8.04,8.46
coffee_miner,6.76,7.154
coffee_miner,0.6,.786
coffee_miner,15.67,15.332
coffee_miner,6.25,6.65
coffee_miner,5.6,5.774
coffee_miner,6.06,6.36
coffee_miner,7.52,10.92
coffee_miner,1.23,1.426
coffee_miner,13.36,15.512
coffee_miner,1.89,2.128
coffee_miner,7.36,6.988
coffee_miner,1.95,2.082
coffee_miner,3.86,4.032
coffee_miner,13.01,11.936
coffee_miner,4.77,8.95
coffee_miner,1.58,1.422
coffee_miner,3.31,3.492
coffee_miner,2.37,2.47
coffee_miner,1.63,2.16
coffee_miner,10.19,10.58
coffee_miner,9.37,9.26
coffee_miner,1.12,.978
coffee_miner,1.33,1.708
coffee_miner,0.42,.424
coffee_miner,0.44,.562
coffee_miner,1.72,2.25
coffee_miner,0.28,.446
coffee_miner,0.68,.972
coffee_miner,0.75,.826
coffee_miner,3.97,4.008
coffee_miner,11.89,13.686
coffee_miner,3.59,3.88
coffee_miner,5.58,6.01
coffee_miner,5.14,5.526
coffee_miner,5.16,5.638
coffee_miner,9.34,10.542
coffee_miner,14.22,12.602
coffee_miner,7.58,8.62
coffee_miner,2.56,2.696
coffee_miner,2.9,2.056
coffee_miner,6.43,7.012
coffee_miner,4.99,5.194
coffee_miner,8.27,8.572
coffee_miner,3.72,5.56
coffee_miner,3.19,2.994
coffee_miner,0.65,.75
coffee_miner,1.88,1.978
coffee_miner,4.41,4.546
coffee_miner,2.63,3.004
coffee_miner,5.34,3.428
coffee_miner,4.56,5.012
coffee_miner,36.08,29.53
coffee_miner,2.83,3.51
coffee_miner,4.3,5.236
coffee_miner,4.12,3.95
coffee_miner,1.15,1.232
coffee_miner,9.95,10.182
coffee_miner,11.71,11.66
coffee_miner,10.15,11.204
coffee_miner,2.16,2.306
coffee_miner,10.11,11.57
coffee_miner,2.01,2.54
coffee_miner,0.81,.986
coffee_miner,6.65,8.028
coffee_miner,9.74,9.58
coffee_miner,8.92,9.858
coffee_miner,3.75,4.694
coffee_miner,4.91,5.196
coffee_miner,6.24,6.764
coffee_miner,11.2,12.094
coffee_miner,6.01,5.902
coffee_miner,4.33,4.614
coffee_miner,5.1,5.364
coffee_miner,3.43,3.96
coffee_miner,3.88,4.26
soybean_rust,11.38,9.406
soybean_rust,66.58,81.378
soybean_rust,28.52,27.446
soybean_rust,32.04,36.934
soybean_rust,76.65,87.746
soybean_rust,17.74,14.196
soybean_rust,18.22,26.358
soybean_rust,1.75,.544
soybean_rust,2.45,3.206
soybean_rust,9.58,11.18
soybean_rust,39,42.084
soybean_rust,33.99,41.368
soybean_rust,60.22,60.08
soybean_rust,58.28,61.606
soybean_rust,63.2,67.162
soybean_rust,37.21,31.314
soybean_rust,85.32,85.74
soybean_rust,47.55,43.51
soybean_rust,53.68,52.24
soybean_rust,45.05,64.698
soybean_rust,13.49,21.196
soybean_rust,22.76,39.322
soybean_rust,0.06,.192
soybean_rust,43.67,33.272
soybean_rust,15.29,13.142
soybean_rust,19.88,9.742
soybean_rust,4.04,2.846
soybean_rust,8.57,7.532
soybean_rust,7.52,5.666
soybean_rust,6.21,3.344
soybean_rust,10.36,8.386
soybean_rust,34.7,37.458
soybean_rust,25.47,30.962
soybean_rust,70.18,77.296
soybean_rust,41.87,56.354
soybean_rust,31.38,29.118
soybean_rust,16.17,15.968
soybean_rust,58.5,72.574
soybean_rust,48.71,61.612
soybean_rust,5.33,5.12
soybean_rust,14.62,10.65
soybean_rust,83.16,93.948
wheat_tanspot,5.72,5.372
wheat_tanspot,2.86,3.012
wheat_tanspot,43.52,38.084
wheat_tanspot,38.81,33.96
wheat_tanspot,7.03,4.934
wheat_tanspot,8.54,7.082
wheat_tanspot,48.98,59.116
wheat_tanspot,52.44,67.554
wheat_tanspot,55.83,52.62
wheat_tanspot,4.01,3.262
wheat_tanspot,77.08,70.648
wheat_tanspot,33.45,32.66
wheat_tanspot,10.58,11.226
wheat_tanspot,14.92,14.622
wheat_tanspot,46.27,42.83
wheat_tanspot,11.94,13.344
wheat_tanspot,16.24,23.332
wheat_tanspot,22.65,33.088
wheat_tanspot,17.97,13.418
wheat_tanspot,84.42,87.176
wheat_tanspot,95.43,97.81
wheat_tanspot,1.28,1.886
wheat_tanspot,62.77,58.426
wheat_tanspot,71.41,68.134
wheat_tanspot,3.42,2.628
wheat_tanspot,26.61,24.138
wheat_tanspot,40.27,43.06
wheat_tanspot,57.15,60.854
wheat_tanspot,9.6,9.45
wheat_tanspot,68.64,72.026
wheat_tanspot,29.7,20.81
