image_set,actual,predicted
coffee_miner,4.49,6.728
coffee_miner,2.78,3.744
coffee_miner,5.85,8.426
coffee_miner,3.11,4.168
coffee_miner,3.27,3.15
coffee_miner,5.71,9.654
coffee_miner,8.04,12.878
coffee_miner,6.76,8.644
coffee_miner,0.6,2.162
coffee_miner,15.67,18.99
coffee_miner,6.25,8.626
coffee_miner,5.6,6.842
coffee_miner,6.06,6.436
coffee_miner,7.52,22.724
coffee_miner,1.23,1.922
coffee_miner,13.36,14.842
coffee_miner,1.89,7.272
coffee_miner,7.36,7.292
coffee_miner,1.95,2.23
coffee_miner,3.86,4.348
coffee_miner,13.01,14.292
coffee_miner,4.77,10.178
coffee_miner,1.58,1.802
coffee_miner,3.31,3.848
coffee_miner,2.37,3.58
coffee_miner,1.63,4.656
coffee_miner,10.19,10.84
coffee_miner,9.37,9.422
coffee_miner,1.12,0.942
coffee_miner,1.33,1.712
coffee_miner,0.42,0.832
coffee_miner,0.44,0.588
coffee_miner,1.72,2.414
coffee_miner,0.28,0.604
coffee_miner,0.68,1.152
coffee_miner,0.75,0.83
coffee_miner,3.97,4.232
coffee_miner,11.89,13.426
coffee_miner,3.59,3.986
coffee_miner,5.58,6.38
coffee_miner,5.14,5.618
coffee_miner,5.16,5.924
coffee_miner,9.34,11.168
coffee_miner,14.22,14.824
coffee_miner,7.58,9.178
coffee_miner,2.56,2.814
coffee_miner,2.9,4.136
coffee_miner,6.43,7.442
coffee_miner,4.99,5.852
coffee_miner,8.27,9.094
coffee_miner,3.72,5.556
coffee_miner,3.19,4.526
coffee_miner,0.65,1.858
coffee_miner,1.88,2.372
coffee_miner,4.41,5.034
coffee_miner,2.63,3.06
coffee_miner,5.34,6.242
coffee_miner,4.56,6.712
coffee_miner,2.83,3.61
coffee_miner,4.3,5.678
coffee_miner,4.12,4.434
coffee_miner,1.15,1.312
coffee_miner,9.95,11.206
coffee_miner,11.71,12.438
coffee_miner,10.15,11.626
coffee_miner,2.16,2.636
coffee_miner,10.11,11.97
coffee_miner,2.01,2.628
coffee_miner,0.81,1.44
coffee_miner,6.65,7.81
coffee_miner,9.74,18.922
coffee_miner,8.92,10.146
coffee_miner,3.75,6.334
coffee_miner,4.91,5.678
coffee_miner,6.24,7.324
coffee_miner,11.2,12.93
coffee_miner,6.01,6.592
coffee_miner,4.33,4.682
coffee_miner,5.1,5.076
coffee_miner,3.43,4.32
coffee_miner,3.88,4.348
soybean_rust,11.38,9.916
soybean_rust,66.58,88.694
soybean_rust,28.52,32.566
soybean_rust,32.04,38.064
soybean_rust,76.65,93.89
soybean_rust,17.74,17.754
soybean_rust,18.22,28.696
soybean_rust,1.75,0.586
soybean_rust,2.45,2.052
soybean_rust,9.58,12.868
soybean_rust,39,44.674
soybean_rust,33.99,42.856
soybean_rust,60.22,65.296
soybean_rust,58.28,69.694
soybean_rust,63.2,74.374
soybean_rust,37.21,31.614
soybean_rust,85.32,90.776
soybean_rust,47.55,47.926
soybean_rust,53.68,56.212
soybean_rust,45.05,67.574
soybean_rust,13.49,20.574
soybean_rust,22.76,39.35
soybean_rust,0.06,0.088
soybean_rust,43.67,33.244
soybean_rust,15.29,16.39
soybean_rust,19.88,11.478
soybean_rust,4.04,3.166
soybean_rust,8.57,8.824
soybean_rust,7.52,6.154
soybean_rust,6.21,4.194
soybean_rust,10.36,10.144
soybean_rust,34.7,40.07
soybean_rust,25.47,29.644
soybean_rust,70.18,82.486
soybean_rust,41.87,60.756
soybean_rust,31.38,27.02
soybean_rust,16.17,10.97
soybean_rust,58.5,80.042
soybean_rust,48.71,70.094
soybean_rust,5.33,5.018
soybean_rust,14.62,10.134
soybean_rust,83.16,96.48
wheat_tanspot,5.72,5.02
wheat_tanspot,2.86,2.46
wheat_tanspot,43.52,36.15
wheat_tanspot,38.81,30.21
wheat_tanspot,7.03,3.56
wheat_tanspot,8.54,5.98
wheat_tanspot,48.98,55.03
wheat_tanspot,52.44,62.74
wheat_tanspot,55.83,47.24
wheat_tanspot,4.01,2.52
wheat_tanspot,77.08,70.84
wheat_tanspot,33.45,29.6
wheat_tanspot,10.58,9.14
wheat_tanspot,14.92,10.9
wheat_tanspot,46.27,36.14
wheat_tanspot,11.94,11.22
wheat_tanspot,16.24,14.63
wheat_tanspot,22.65,29.63
wheat_tanspot,17.97,9.01
wheat_tanspot,84.42,86.02
wheat_tanspot,95.43,96.79
wheat_tanspot,1.28,1.15
wheat_tanspot,62.77,56.03
wheat_tanspot,71.41,71.39
wheat_tanspot,3.42,2.18
wheat_tanspot,26.61,22.79
wheat_tanspot,40.27,41.37
wheat_tanspot,57.15,60.52
wheat_tanspot,9.6,7.17
wheat_tanspot,68.64,71.5
wheat_tanspot,29.7,17.77
