image_set,actual,predicted
coffee_miner,4.49,4.42
coffee_miner,2.78,3.13
coffee_miner,5.85,4.46
coffee_miner,3.11,3.75
coffee_miner,3.27,3.11
coffee_miner,5.71,6.00
coffee_miner,8.04,5.44
coffee_miner,6.76,6.19
coffee_miner,0.6,0.51
coffee_miner,15.67,18.49
coffee_miner,6.25,6.37
coffee_miner,5.6,4.71
coffee_miner,6.06,6.29
coffee_miner,7.52,11.84
coffee_miner,1.23,1.16
coffee_miner,13.36,14.01
coffee_miner,1.89,1.50
coffee_miner,7.36,6.69
coffee_miner,1.95,1.93
coffee_miner,3.86,3.67
coffee_miner,13.01,10.92
coffee_miner,4.77,8.24
coffee_miner,1.58,0.88
coffee_miner,3.31,2.94
coffee_miner,2.37,2.04
coffee_miner,1.63,1.64
coffee_miner,10.19,10.43
coffee_miner,9.37,9.63
coffee_miner,1.12,0.76
coffee_miner,1.33,1.53
coffee_miner,0.42,0.30
coffee_miner,0.44,0.44
coffee_miner,1.72,2.11
coffee_miner,0.28,0.31
coffee_miner,0.68,0.66
coffee_miner,0.75,0.73
coffee_miner,3.97,4.09
coffee_miner,11.89,12.28
coffee_miner,3.59,3.34
coffee_miner,5.58,5.38
coffee_miner,5.14,5.24
coffee_miner,5.16,5.31
coffee_miner,9.34,8.73
coffee_miner,14.22,9.07
coffee_miner,7.58,7.65
coffee_miner,2.56,2.43
coffee_miner,2.9,2.64
coffee_miner,6.43,6.27
coffee_miner,4.99,5.19
coffee_miner,8.27,7.99
coffee_miner,3.72,4.99
coffee_miner,3.19,2.14
coffee_miner,0.65,2.43
coffee_miner,1.88,1.84
coffee_miner,4.41,4.59
coffee_miner,2.63,2.71
coffee_miner,5.34,2.90
coffee_miner,4.56,5.70
coffee_miner,2.83,3.30
coffee_miner,4.3,3.98
coffee_miner,4.12,3.25
coffee_miner,1.15,1.22
coffee_miner,9.95,9.08
coffee_miner,11.71,10.50
coffee_miner,10.15,10.13
coffee_miner,2.16,2.20
coffee_miner,10.11,10.81
coffee_miner,2.01,2.02
coffee_miner,0.81,0.87
coffee_miner,6.65,6.72
coffee_miner,9.74,7.64
coffee_miner,8.92,8.75
coffee_miner,3.75,4.07
coffee_miner,4.91,5.24
coffee_miner,6.24,5.90
coffee_miner,11.2,10.22
coffee_miner,6.01,5.29
coffee_miner,4.33,4.42
coffee_miner,5.1,3.75
coffee_miner,3.43,3.45
coffee_miner,3.88,3.86
soybean_rust,11.38,7.88
soybean_rust,66.58,89.84
soybean_rust,28.52,25.13
soybean_rust,32.04,36.23
soybean_rust,76.65,94.43
soybean_rust,17.74,9.94
soybean_rust,18.22,22.83
soybean_rust,1.75,.14
soybean_rust,2.45,1.05
soybean_rust,9.58,9.2
soybean_rust,39,41.59
soybean_rust,33.99,38.28
soybean_rust,60.22,59.77
soybean_rust,58.28,66.91
soybean_rust,63.2,67.23
soybean_rust,37.21,28.92
soybean_rust,85.32,92.93
soybean_rust,47.55,42.67
soybean_rust,53.68,54.43
soybean_rust,45.05,70.68
soybean_rust,13.49,18.87
soybean_rust,22.76,37.1
soybean_rust,0.06,.02
soybean_rust,43.67,31.14
soybean_rust,15.29,6.97
soybean_rust,19.88,6.46
soybean_rust,4.04,2.06
soybean_rust,8.57,5.34
soybean_rust,7.52,3.8
soybean_rust,6.21,1.48
soybean_rust,10.36,6.06
soybean_rust,34.7,36.94
soybean_rust,25.47,28.33
soybean_rust,70.18,81.71
soybean_rust,41.87,56.87
soybean_rust,31.38,24.24
soybean_rust,16.17,9.7
soybean_rust,58.5,80.01
soybean_rust,48.71,65.36
soybean_rust,5.33,2.77
soybean_rust,14.62,9.14
soybean_rust,83.16,95.89
wheat_tanspot,5.72,3.486
wheat_tanspot,2.86,1.214
wheat_tanspot,43.52,32.316
wheat_tanspot,38.81,31.898
wheat_tanspot,7.03,2.878
wheat_tanspot,8.54,4.374
wheat_tanspot,48.98,54.81
wheat_tanspot,52.44,61.38
wheat_tanspot,55.83,47.03
wheat_tanspot,4.01,1.648
wheat_tanspot,77.08,68.366
wheat_tanspot,33.45,27.746
wheat_tanspot,10.58,7.896
wheat_tanspot,14.92,7.67
wheat_tanspot,46.27,38.32
wheat_tanspot,11.94,8.184
wheat_tanspot,16.24,22.734
wheat_tanspot,22.65,28.17
wheat_tanspot,17.97,13.452
wheat_tanspot,84.42,86.072
wheat_tanspot,95.43,96.524
wheat_tanspot,1.28,0.378
wheat_tanspot,62.77,54.24
wheat_tanspot,71.41,70.394
wheat_tanspot,3.42,0.932
wheat_tanspot,26.61,18.508
wheat_tanspot,40.27,39.016
wheat_tanspot,57.15,62.528
wheat_tanspot,9.6,4.474
wheat_tanspot,68.64,72.972
wheat_tanspot,29.7,22.506
