image_set,actual,predicted
coffee_miner,4.49,4.736
coffee_miner,2.78,3.266
coffee_miner,5.85,6.238
coffee_miner,3.11,2.278
coffee_miner,3.27,3.014
coffee_miner,5.71,6.894
coffee_miner,8.04,8.076
coffee_miner,6.76,7.038
coffee_miner,0.6,0.704
coffee_miner,15.67,14.304
coffee_miner,6.25,6.774
coffee_miner,5.6,5.612
coffee_miner,6.06,5.946
coffee_miner,7.52,9.494
coffee_miner,1.23,1.29
coffee_miner,13.36,14.632
coffee_miner,1.89,1.964
coffee_miner,7.36,6.812
coffee_miner,1.95,1.982
coffee_miner,3.86,3.888
coffee_miner,13.01,12.182
coffee_miner,4.77,5.916
coffee_miner,1.58,1.064
coffee_miner,3.31,3.324
coffee_miner,2.37,2.476
coffee_miner,1.63,1.782
coffee_miner,10.19,10.452
coffee_miner,9.37,8.778
coffee_miner,1.12,0.87
coffee_miner,1.33,1.576
coffee_miner,0.42,0.386
coffee_miner,0.44,0.484
coffee_miner,1.72,2.18
coffee_miner,0.28,0.374
coffee_miner,0.68,0.774
coffee_miner,0.75,0.774
coffee_miner,3.97,3.892
coffee_miner,11.89,12.922
coffee_miner,3.59,3.65
coffee_miner,5.58,5.79
coffee_miner,5.14,5.418
coffee_miner,5.16,5.492
coffee_miner,9.34,9.738
coffee_miner,14.22,12.776
coffee_miner,7.58,8.07
coffee_miner,2.56,2.594
coffee_miner,2.9,1.162
coffee_miner,6.43,6.61
coffee_miner,4.99,5.412
coffee_miner,8.27,8.288
coffee_miner,3.72,5.172
coffee_miner,3.19,2.604
coffee_miner,0.65,0.714
coffee_miner,1.88,1.862
coffee_miner,4.41,4.52
coffee_miner,2.63,2.916
coffee_miner,5.34,2.766
coffee_miner,4.56,4.592
coffee_miner,2.83,3.388
coffee_miner,4.3,4.178
coffee_miner,4.12,3.86
coffee_miner,1.15,1.164
coffee_miner,9.95,9.884
coffee_miner,11.71,10.77
coffee_miner,10.15,10.706
coffee_miner,2.16,2.262
coffee_miner,10.11,11.074
coffee_miner,2.01,2.046
coffee_miner,0.81,0.964
coffee_miner,6.65,7.818
coffee_miner,9.74,9.052
coffee_miner,8.92,9.516
coffee_miner,3.75,4.104
coffee_miner,4.91,5.068
coffee_miner,6.24,6.61
coffee_miner,11.2,11.944
coffee_miner,6.01,5.746
coffee_miner,4.33,4.538
coffee_miner,5.1,4.812
coffee_miner,3.43,3.784
coffee_miner,3.88,4.072
soybean_rust,11.38,8.876
soybean_rust,66.58,80.386
soybean_rust,28.52,24.48
soybean_rust,32.04,31.456
soybean_rust,76.65,86.964
soybean_rust,17.74,12.57
soybean_rust,18.22,21.114
soybean_rust,1.75,0.386
soybean_rust,2.45,3.112
soybean_rust,9.58,9.624
soybean_rust,39,37.08
soybean_rust,33.99,34.886
soybean_rust,60.22,54.514
soybean_rust,58.28,54.31
soybean_rust,63.2,56.986
soybean_rust,37.21,29.278
soybean_rust,85.32,84.106
soybean_rust,47.55,38.858
soybean_rust,53.68,46.2
soybean_rust,45.05,58.576
soybean_rust,13.49,19.52
soybean_rust,22.76,32.856
soybean_rust,0.06,0.124
soybean_rust,43.67,28.694
soybean_rust,15.29,11.6
soybean_rust,19.88,6.75
soybean_rust,4.04,1.99
soybean_rust,8.57,6.464
soybean_rust,7.52,4.852
soybean_rust,6.21,2.572
soybean_rust,10.36,7.106
soybean_rust,34.7,34.004
soybean_rust,25.47,27.342
soybean_rust,70.18,73.68
soybean_rust,41.87,44.102
soybean_rust,31.38,25.114
soybean_rust,16.17,13.336
soybean_rust,58.5,68.766
soybean_rust,48.71,54.63
soybean_rust,5.33,4.25
soybean_rust,14.62,8.802
soybean_rust,83.16,90.484
wheat_tanspot,5.72,5.162
wheat_tanspot,2.86,2.67
wheat_tanspot,43.52,37.37
wheat_tanspot,38.81,32.332
wheat_tanspot,7.03,4.362
wheat_tanspot,8.54,6.342
wheat_tanspot,48.98,58.09
wheat_tanspot,52.44,64.592
wheat_tanspot,55.83,50.364
wheat_tanspot,4.01,2.826
wheat_tanspot,77.08,69.652
wheat_tanspot,33.45,30.804
wheat_tanspot,10.58,10.788
wheat_tanspot,14.92,12.978
wheat_tanspot,46.27,40.434
wheat_tanspot,11.94,11.686
wheat_tanspot,16.24,23.354
wheat_tanspot,22.65,30.678
wheat_tanspot,17.97,13.54
wheat_tanspot,84.42,86.688
wheat_tanspot,95.43,96.958
wheat_tanspot,1.28,1.222
wheat_tanspot,62.77,55.994
wheat_tanspot,71.41,65.038
wheat_tanspot,3.42,2.112
wheat_tanspot,26.61,21.91
wheat_tanspot,40.27,40.752
wheat_tanspot,57.15,60.11
wheat_tanspot,9.6,7.536
wheat_tanspot,68.64,70.19
wheat_tanspot,29.7,21.586
