image_set,actual,predicted
coffee_miner,4.49,4.99
coffee_miner,2.78,3.49
coffee_miner,5.85,6.55
coffee_miner,3.11,2.41
coffee_miner,3.27,03.01
coffee_miner,5.71,7.18
coffee_miner,08.04,8.26
coffee_miner,6.76,7.22
coffee_miner,0.6,0.71
coffee_miner,15.67,15.23
coffee_miner,6.25,6.78
coffee_miner,5.6,5.86
coffee_miner,06.06,5.94
coffee_miner,7.52,10.66
coffee_miner,1.23,1.28
coffee_miner,13.36,15.08
coffee_miner,1.89,02.04
coffee_miner,7.36,6.92
coffee_miner,1.95,02.04
coffee_miner,3.86,3.98
coffee_miner,13.01,12.06
coffee_miner,4.77,6.84
coffee_miner,1.58,1.13
coffee_miner,3.31,3.47
coffee_miner,2.37,2.43
coffee_miner,1.63,1.73
coffee_miner,10.19,10.59
coffee_miner,9.37,09.02
coffee_miner,1.12,0.89
coffee_miner,1.33,1.54
coffee_miner,0.42,0.41
coffee_miner,0.44,0.49
coffee_miner,1.72,2.16
coffee_miner,0.28,0.37
coffee_miner,0.68,0.76
coffee_miner,0.75,0.73
coffee_miner,3.97,3.82
coffee_miner,11.89,12.95
coffee_miner,3.59,3.76
coffee_miner,5.58,5.84
coffee_miner,5.14,5.43
coffee_miner,5.16,5.49
coffee_miner,9.34,10.08
coffee_miner,14.22,13.61
coffee_miner,7.58,8.21
coffee_miner,2.56,2.62
coffee_miner,2.9,1.35
coffee_miner,6.43,6.5
coffee_miner,4.99,5.49
coffee_miner,8.27,8.55
coffee_miner,3.72,5.15
coffee_miner,3.19,2.65
coffee_miner,0.65,0.72
coffee_miner,1.88,1.85
coffee_miner,4.41,4.54
coffee_miner,2.63,2.94
coffee_miner,5.34,2.78
coffee_miner,2.83,3.26
coffee_miner,4.3,4.31
coffee_miner,4.12,3.85
coffee_miner,1.15,1.17
coffee_miner,9.95,10.07
coffee_miner,11.71,10.6
coffee_miner,10.15,10.58
coffee_miner,2.16,2.22
coffee_miner,10.11,11.06
coffee_miner,02.01,2.14
coffee_miner,0.81,0.89
coffee_miner,6.65,7.98
coffee_miner,9.74,9.17
coffee_miner,8.92,9.63
coffee_miner,3.75,4.46
coffee_miner,4.91,05.04
coffee_miner,6.24,6.39
coffee_miner,11.2,12.06
coffee_miner,6.01,5.62
coffee_miner,4.33,4.5
coffee_miner,5.1,5.13
coffee_miner,3.43,3.81
coffee_miner,3.88,4.16
soybean_rust,11.38,09.05
soybean_rust,66.58,81
soybean_rust,28.52,27.35
soybean_rust,32.04,32
soybean_rust,76.65,87
soybean_rust,17.74,14
soybean_rust,18.22,22
soybean_rust,1.75,4.52
soybean_rust,2.45,4
soybean_rust,9.58,10
soybean_rust,39,38
soybean_rust,33.99,37
soybean_rust,60.22,54.68
soybean_rust,58.28,55
soybean_rust,63.2,60
soybean_rust,37.21,29
soybean_rust,85.32,85
soybean_rust,47.55,40
soybean_rust,53.68,50
soybean_rust,45.05,60.77
soybean_rust,13.49,20
soybean_rust,22.76,34
soybean_rust,0.06,1.82
soybean_rust,43.67,31.08
soybean_rust,15.29,12
soybean_rust,19.88,7
soybean_rust,4.04,2
soybean_rust,8.57,7
soybean_rust,7.52,5
soybean_rust,6.21,3
soybean_rust,10.36,8
soybean_rust,34.7,35
soybean_rust,25.47,29
soybean_rust,70.18,74
soybean_rust,41.87,50
soybean_rust,31.38,25.96
soybean_rust,16.17,14
soybean_rust,58.5,71
soybean_rust,48.71,56
soybean_rust,5.33,4.6
soybean_rust,14.62,9
soybean_rust,83.16,90
wheat_tanspot,5.72,5.57
wheat_tanspot,2.86,3
wheat_tanspot,43.52,38.46
wheat_tanspot,38.81,33
wheat_tanspot,7.03,5
wheat_tanspot,8.54,6.88
wheat_tanspot,48.98,57
wheat_tanspot,52.44,66
wheat_tanspot,55.83,51
wheat_tanspot,4.01,3
wheat_tanspot,77.08,70
wheat_tanspot,33.45,33.83
wheat_tanspot,10.58,10.37
wheat_tanspot,14.92,14
wheat_tanspot,46.27,43
wheat_tanspot,11.94,14
wheat_tanspot,16.24,20
wheat_tanspot,22.65,32
wheat_tanspot,17.97,12
wheat_tanspot,84.42,87
wheat_tanspot,95.43,97.17
wheat_tanspot,1.28,1
wheat_tanspot,62.77,57
wheat_tanspot,71.41,68
wheat_tanspot,3.42,2
wheat_tanspot,26.61,23
wheat_tanspot,40.27,43
wheat_tanspot,57.15,61
wheat_tanspot,9.6,8
wheat_tanspot,29.7,20
