image_set,actual,predicted
coffee_miner,4.49,4.96
coffee_miner,2.78,4.4
coffee_miner,5.85,6.45
coffee_miner,3.11,2.74
coffee_miner,3.27,3.14
coffee_miner,5.71,7.
coffee_miner,8.04,8.1
coffee_miner,6.76,7.07
coffee_miner,0.6,.77
coffee_miner,15.67,15.7
coffee_miner,6.25,7.25
coffee_miner,5.6,5.86
coffee_miner,6.06,6.02
coffee_miner,7.52,9.54
coffee_miner,1.23,1.32
coffee_miner,13.36,15.29
coffee_miner,1.89,2.03
coffee_miner,7.36,6.98
coffee_miner,1.95,2.04
coffee_miner,3.86,3.99
coffee_miner,13.01,12.8
coffee_miner,4.77,10.28
coffee_miner,1.58,1.4
coffee_miner,3.31,3.5
coffee_miner,2.37,2.47
coffee_miner,1.63,1.82
coffee_miner,10.19,10.5
coffee_miner,9.37,9.02
coffee_miner,1.12,.88
coffee_miner,1.33,1.64
coffee_miner,0.42,.47
coffee_miner,0.44,.47
coffee_miner,1.72,2.23
coffee_miner,0.28,.38
coffee_miner,0.68,.85
coffee_miner,0.75,.79
coffee_miner,3.97,4.04
coffee_miner,11.89,12.86
coffee_miner,3.59,3.98
coffee_miner,5.58,5.88
coffee_miner,5.14,5.58
coffee_miner,5.16,5.57
coffee_miner,9.34,10.16
coffee_miner,14.22,12.93
coffee_miner,7.58,8.33
coffee_miner,2.56,2.75
coffee_miner,2.9,1.79
coffee_miner,6.43,6.67
coffee_miner,4.99,5.42
coffee_miner,8.27,8.64
coffee_miner,3.72,5.22
coffee_miner,3.19,2.62
coffee_miner,0.65,.74
coffee_miner,1.88,1.92
coffee_miner,4.41,4.63
coffee_miner,2.63,2.95
coffee_miner,5.34,3.76
coffee_miner,4.56,5.56
coffee_miner,2.83,3.45
coffee_miner,4.3,4.51
coffee_miner,4.12,3.96
coffee_miner,1.15,1.27
coffee_miner,9.95,9.88
coffee_miner,11.71,11.17
coffee_miner,10.15,10.87
coffee_miner,2.16,2.34
coffee_miner,10.11,11.31
coffee_miner,2.01,2.21
coffee_miner,0.81,.95
coffee_miner,6.65,8.38
coffee_miner,9.74,9.26
coffee_miner,8.92,9.65
coffee_miner,3.75,4.3
coffee_miner,4.91,5.19
coffee_miner,6.24,6.22
coffee_miner,11.2,12.18
coffee_miner,6.01,5.74
coffee_miner,4.33,4.57
coffee_miner,5.1,5.38
coffee_miner,3.43,3.85
coffee_miner,3.88,4.31
soybean_rust,11.38,8.83
soybean_rust,66.58,81.69
soybean_rust,28.52,24.36
soybean_rust,32.04,27.55
soybean_rust,76.65,89.7
soybean_rust,17.74,11.55
soybean_rust,18.22,19.19
soybean_rust,1.75,.26
soybean_rust,2.45,2.01
soybean_rust,9.58,8.88
soybean_rust,39,34.92
soybean_rust,33.99,34.45
soybean_rust,60.22,59.02
soybean_rust,58.28,57.43
soybean_rust,63.2,65.13
soybean_rust,37.21,30.09
soybean_rust,85.32,85.51
soybean_rust,47.55,39.38
soybean_rust,53.68,48.23
soybean_rust,45.05,57.93
soybean_rust,13.49,14.33
soybean_rust,22.76,30.89
soybean_rust,0.06,.09
soybean_rust,43.67,28.97
soybean_rust,15.29,11.32
soybean_rust,19.88,6.47
soybean_rust,4.04,1.76
soybean_rust,8.57,6.59
soybean_rust,7.52,4.07
soybean_rust,6.21,2.19
soybean_rust,10.36,6.27
soybean_rust,34.7,30.35
soybean_rust,25.47,23.87
soybean_rust,70.18,74.73
soybean_rust,41.87,41.09
soybean_rust,31.38,25.63
soybean_rust,16.17,9.77
soybean_rust,58.5,72.61
soybean_rust,48.71,60.07
soybean_rust,5.33,3.54
soybean_rust,14.62,8.37
soybean_rust,83.16,92.88
wheat_tanspot,5.72,5.002
wheat_tanspot,2.86,2.21
wheat_tanspot,43.52,37.774
wheat_tanspot,38.81,32.58
wheat_tanspot,7.03,3.692
wheat_tanspot,8.54,6.064
wheat_tanspot,48.98,57.668
wheat_tanspot,52.44,64.992
wheat_tanspot,55.83,51.104
wheat_tanspot,4.01,2.276
wheat_tanspot,77.08,70.028
wheat_tanspot,33.45,30.726
wheat_tanspot,10.58,9.5
wheat_tanspot,14.92,12.184
wheat_tanspot,46.27,40.76
wheat_tanspot,11.94,11.582
wheat_tanspot,16.24,16.096
wheat_tanspot,22.65,31.27
wheat_tanspot,17.97,7.942
wheat_tanspot,84.42,87.604
wheat_tanspot,95.43,97.806
wheat_tanspot,1.28,.836
wheat_tanspot,62.77,56.156
wheat_tanspot,71.41,66.382
wheat_tanspot,3.42,2.128
wheat_tanspot,26.61,23.038
wheat_tanspot,40.27,41.89
wheat_tanspot,57.15,61.384
wheat_tanspot,9.6,6.828
wheat_tanspot,68.64,71.854
wheat_tanspot,29.7,24.852
